评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Jen,Amazing,https://www.amazon.com/gp/customer-reviews/R1XL0C1PBW5PAI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," January 20, 2025",,Verified Purchase,"These barefoot are amazing I take them hiking.They are super lightweight, very functional and amazing part of these shoes when hiking doesn’t slip . Super easy to clean, I just put them in the washer gentle clean they stay looking amazing as if I never went hiking.I really love the color I choose was camouflage. They are true to size I usually fit in a size 6 and I picked 5.5-6 and it fit perfect no need to size down or size up.",
Alethea,Good but not great,https://www.amazon.com/gp/customer-reviews/R2RCDB14PU4IPR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," November 24, 2024",Size: 9-9.5Color: W21v2 | All Black,Verified Purchase,"These were my first barefoot shoes and initially I really liked them for their wide toe box. The top is a little tight on my foot but I was able to overlook that for the reasonable price and great width of the shoe. After a week or so, I realized the insole still has a bit of uneven padding so I removed it to create what I hoped would be a true barefoot experience. Unfortunately the sole of these shoes has many treads that can be felt on the foot when walking for longer distances. I used them on the treadmill, walking only, last week and got blisters on the bottom of my feet where the ball of the foot was consistently pressing on one of the lumps of the treads. If the soles were flat this would not be an issue, or if the insole has been flat and not needed to be removed, perhaps it would have absorbed some of the unevenness of the sole, but as it’s currently designed, this is not a true barefoot shoe.",
pertina smith,"Yes,yes and yes",https://www.amazon.com/gp/customer-reviews/R6AX3MDB6X7L1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," November 20, 2024",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,"Love these shoes, and shockingly get many compliments on them and they are super comfortable.",
Renee,Love,https://www.amazon.com/gp/customer-reviews/R37443PRZSPDCE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," November 19, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,Like being bear foot.,
Wendy,Good show runs snall,https://www.amazon.com/gp/customer-reviews/R1VZLM2LUQF6FD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," November 15, 2024",Size: 9-9.5Color: W21v2 | All Black,Verified Purchase,Fit well good support,
Allyssa FireStick,"Not the worst shoes ever, could be much better",https://www.amazon.com/gp/customer-reviews/R38XXT2N7VZR3B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"2.0 "," the United States "," November 13, 2024",Size: 6.5-7Color: W21v2 | All Black,Verified Purchase,Toes are much wider than images appear. Elastic band around the top goes much higher than shown and is tight. They do have good traction for walking.,
The head doesn't stay on..,Shoes,https://www.amazon.com/gp/customer-reviews/R2X9FFD80GGYW6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"1.0 "," the United States "," November 12, 2024",Size: 10Color: W21v2 | Camouflage,Verified Purchase,Not comfortable!,2
Kindle Customer,Comfortable!,https://www.amazon.com/gp/customer-reviews/R16O7JPEEDZ4RT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," November 10, 2024",Size: 10.5-11Color: W21v2 | Pink,Verified Purchase,"I love my Joomra shoes.  When I read the reviews, some people said they were difficult to put on.  But I have a narrow foot so for me it is real easy.  I am thinking if you have extra wide feet, this model may be a little difficult.  They are lightweight, stretchy, great traction, and support.  I wasn't sure what to expect because I never had a minimalistic shoe, but they really feels good to walk in them.I am going to have to get another pair.",7
S.R.,Great shoes when you use your toes to grip,https://www.amazon.com/gp/customer-reviews/RDV8FTGB93L3X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," November 2, 2024",Size: 8.5Color: W21v2 | Black,Verified Purchase,"Mine are almost 3 years old, and have never worn out. I use them for hiking, working, and running. They are easily the best shoes for my feet that I have ever bought. I have narrow feet and long toes, and tend to grip with my toes. The grip and flexibility is excellent. I'm only ordering a new pair bc an insole was chewed by a dog! If you grip with your toes and enjoy the freedom and grip of walking barefoot, then I highly recommend them! If you are someone requiring a bunch of support or walk flatly, then they probably won't be for you. These are the best shoes I've ever owned for my type of feet.",3
katherine a.,Very satisfied,https://www.amazon.com/gp/customer-reviews/R3S4W6LOT74T1W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 30, 2024",Size: 8.5Color: W21v2 | Camouflage,Verified Purchase,"None structure of my feet make fitting comfortably difficult. These shoes, with large toe box and zero drop fit are perfect. They provide feedback for the whole foot. Can’t speak to longevity, or warmth. Had to buy a size bigger than I thought.  I would buy them again.",
Connie Emerson,They are comfortable,https://www.amazon.com/gp/customer-reviews/R39X0G29DGDCNZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," October 30, 2024",Size: 8.5Color: W21v2 | Black,Verified Purchase,👍,
Amy,Buy Small,https://www.amazon.com/gp/customer-reviews/RS1EVJC76KSCZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 27, 2024",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,"I love these shoes, they are so comfortable. They're almost better than barefoot. Buy a half size smaller than you normally wear.",
Kindle Customer,More comfortable than I hope!,https://www.amazon.com/gp/customer-reviews/R1XTRU5XGGJOY0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 25, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,"I really do not like to wear shoes and stay barefoot while home. However, I will keep these on around the house. Very comfortable for walking and every day wear. Can see me getting another pair.",
D. Smalley,Answer for wide feet!,https://www.amazon.com/gp/customer-reviews/R2AMNME6YNYNUT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 20, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,"Got these shoes yesterday, walked the dog on cement and off…SO happy, my feet feel free, not pinched or numbish. Wore light ankle socks.  I am a very active 72 year old and these are the best shoes my feet have ever been in, rank right up there with complete freedom flip flops. Big toe box shoes forever! Thank you! Wear a 9, bought a 9W, perfect!",3
a penny,Comfortable,https://www.amazon.com/gp/customer-reviews/R3VX3RSVM8CZAG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 19, 2024",Size: 10Color: W21v2 | All Black,Verified Purchase,Very comfortable.  I could wear them every day.,
Christina Z,Maybe not for thick feet/wide ankles,https://www.amazon.com/gp/customer-reviews/R3INVHCG32GZSC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 16, 2024",Size: 10.5-11Color: W21v2 | All Black,Verified Purchase,"The listing for this barefoot trail running shoe has multiple style versions. As pictured, I tried one that has rows of elastic at the foot opening and one without. My thick/wide feet fit fine in Birkenstock clogs (my usual footwear) and fit fine in the wider opening of the Joomra style on the right/red shoe), but the narrower opening of the elastic-bound (left/black) shoe was snug to the point of uncomfortable. The rows of elastic also rolled into the shoe as I was putting it on. Both styles have wide toe boxes and are comfortable around the foot, but the rows of elastic style may not work depending on your foot volume/ankle width.",13
I think that it is very awesome,Very comfortable,https://www.amazon.com/gp/customer-reviews/RUSJ5NQ4ZBLS1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 14, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,A little harsh to get on. They are very tight,
Amy Davis,Longevity is questionable,https://www.amazon.com/gp/customer-reviews/R2US4ZSWQN5132/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," October 13, 2024",Size: 8.5Color: W21v2 | Camouflage,Verified Purchase,Very comfortable! Great walking shoes but I purchased these in May and feel like they should have held up longer.,
SIDEKICK,Great quality,https://www.amazon.com/gp/customer-reviews/R2KCTNWPZVM5ZW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 10, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,"Second time I buy this brand. I use them primarily for just walking to work and at work. The first pair lasted maybe 4yrs or 5yrs. Would used them for about 6-8 hours a day on tile, and carpet flooring. Sometimes on dirt and on streets too. The bottom rubber stayed intact but had to toss them because the fabric gave out. It's usually the soles that give out first. I really love these shoes and bran. They are pretty comfy but did try different inserts to better accommodate my feet. UPDATE I did end up buying different inserts because the ones that came with the shoes became pretty painful after a few minutes of walking. Couldn't get my feet to adjust. Other than that I would still say 5 stars.",
Amber,I would buy these over and over,https://www.amazon.com/gp/customer-reviews/RPQTJCVX7QBHF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 10, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,"I have always hated wearing shoes. Tried so many brands but these are so comfortable, durable, slip resistant, and patterns are so cute!!",
Rebecca Lamie,Best shoes I’ve ever bought!,https://www.amazon.com/gp/customer-reviews/R3JYZZD9N3G8FC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 10, 2024",Size: 5.5-6Color: W21v2 | Pink,Verified Purchase,"If you are someone who lives walking around barefoot, these are the perfect shoes for you! I love them so much!",
Carol O,Never had such hard time to get shoes on.....,https://www.amazon.com/gp/customer-reviews/R2M1KXPK96DQK6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"2.0 "," the United States "," October 7, 2024",Size: 6.5-7Color: W21v2 | Pink,Verified Purchase,WARNING All of the reviews I read are so good so I ordered a pair. I must be missing something or I have aged to the point where I cannot put my shoes on. Hmmm guess that could be. Someone told me to use the Velcro straps! What straps???? I even tried to make my own but failed at that too. I would return them but I did get one shoe on and walked around hoping it would stretch or something but to no avail. Even took the shoe laces out. The backs just fold inward and no way can I pull it out and shoe horn does not work either. Sigh!,
Joyce Mcdonald,Ran a little small,https://www.amazon.com/gp/customer-reviews/R2MXAUUAV9RR6B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," October 6, 2024",Size: 6.5-7Color: W21v2 | Black,Verified Purchase,I wanted to love these shoes. The black and just flecks of gray is such a good combination so you could wear them with just about anything. I had a hard time getting them on and then figured it was because they were too small. I sent them back and refund was immediate. I may end up reordering a larger size because I can't find that black and gray anywhere else.,
james h. ray,So comfortable,https://www.amazon.com/gp/customer-reviews/R2ODYILBR3LKFN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," October 5, 2024",Size: 10.5-11Color: W21v2 | All Black,Verified Purchase,"I own 2 pair of these one for inside one for outside. They are my everyday shoe. The traction is great, durable and machine washable, the material is thick enough to protect and breath. They are so versatile I wear them everywhere.",
Katia,Joomra Women's Minimalist Trail,https://www.amazon.com/gp/customer-reviews/R10NI1GG6PRTIG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," September 29, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,It’s ok,
betty,Shoes,https://www.amazon.com/gp/customer-reviews/R22NL1FF585U5I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," September 28, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,Love them,
DJQ,Working,https://www.amazon.com/gp/customer-reviews/RXDHQ3JJXKHEM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," September 24, 2024",Size: 10Color: W21v2 | Black,Verified Purchase,Update to last review..Kept the shoes and now love them. Actually also keep feet warm with no socks in cool weather.,2
"These took forever to come! And tho’ they are pretty, they won’t lay flat and we trip over them constantly. They are also fabric. Very disappointed.",They are pretty comfy,https://www.amazon.com/gp/customer-reviews/RI69GIP9OIJCJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," September 18, 2024",Size: 8.5Color: W21v2 | Black,Verified Purchase,Only thing I didn’t like: I started to get blisters. Need a thin pair of socks for them to go hiking. Traction seems pretty good for hiking.,
jy,Comfortable,https://www.amazon.com/gp/customer-reviews/R255Z1YENO2RHY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," September 12, 2024",Size: 10Color: W21v2 | Black,Verified Purchase,"They are comfortable to wear. I can wear 9.5 US women’s, but I decided to go with a 10. It fit as expected. I walk/hike most days and it feels good. I can feel some of the larger crushed stones when I walk on them, but I guess the point is to feel barefoot. It doesn’t hurt.",
Carlos,Buenos,https://www.amazon.com/gp/customer-reviews/R3J5EZ5OSJ3NJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," September 8, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,Buenos,
Louis C Marascalco III,Sturdy good ankle tightness,https://www.amazon.com/gp/customer-reviews/R1YK203Y8G8J21/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," September 8, 2024",Size: 8.5Color: W21v2 | Pink,Verified Purchase,Bought these for a pilgrimage next year they are more durable for rough terrain. They stay on much better than other brands that I have,
Toni Marie,Not wide enough for wide feet,https://www.amazon.com/gp/customer-reviews/R3NEKQWMDEBQ5H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"2.0 "," the United States "," September 4, 2024",Size: 10.5-11Color: W21v2 | Pink,Verified Purchase,The toe box area might have been wide but couldn’t get them on to tell. Not made for wide width feet.,
Kindle Customer,Great fit.,https://www.amazon.com/gp/customer-reviews/R3S16BXJZIXRMH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," September 2, 2024",Size: 7.5-8Color: W21v2 | Camouflage,Verified Purchase,Fits great and very comfortable.  Lightweight and very cool.,
Amazon Customer S. R.  Dollison,Comfortable!,https://www.amazon.com/gp/customer-reviews/RARABTILBY6G8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 30, 2024",Size: 10.5-11Color: W21v2 | Pink,Verified Purchase,"I fell in love with these the moment I put them on.  They are just like the advertisement.  I really like the way they feel on my feet.  I will order another pair, but in a different color.",
Dawn K. Howard,Hard to put on,https://www.amazon.com/gp/customer-reviews/ROL8WHDYUHUH0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," August 29, 2024",Size: 7.5-8Color: W21v2 | Black,Verified Purchase,"I love these shoes, they are comfortable and look great, but they are so hard to get on. The top where you put your feet in are shaped like a snug slipper. I bought these specifically for exercising because they had thin soles, very bendable, and room for your toes to spread out so they don’t get cramped. But dang are they hard to get over your heel. Otherwise I would have given them a 5 star. Perhaps they will stretch out over time. Maybe I was suppose to wear them without socks, like water shoes. But my feet sweat so I’d rather have socks on. I think I got mine in Dark grey.. it looks like a heather which I like. I may be able to come back and write more about the breathability and whether my feet get hot but This is the first time I’ve worn them.",15
Kathy,Comfort,https://www.amazon.com/gp/customer-reviews/RZWCF0PLDMI27/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," August 25, 2024",Size: 6.5-7Color: W21v2 | Black,Verified Purchase,The toe box is wide and comfortable The opening around the ankle is too high on my ankle bone and tight for me,2
Jacquelinecrawley,Shoes,https://www.amazon.com/gp/customer-reviews/RS9P2TKUSN868/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 21, 2024",Size: 10.5-11Color: W21v2 | All Black,Verified Purchase,"Very comfortable,  hard to get on.",
Nana,Very comfortable,https://www.amazon.com/gp/customer-reviews/R2DAM505TARH3Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 20, 2024",Size: 9-9.5Color: W21v2 | All Black,Verified Purchase,Very comfortable!,
Stacey,Hard to get on,https://www.amazon.com/gp/customer-reviews/R1MG5WL2N0K9OD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," August 19, 2024",Size: 8.5Color: W21v2 | Black,Verified Purchase,"Nice shoes however it wraps around the foot close to the ankle tightly, so much it is difficult to get on and off...especially on",
Christina Joy Gonzalez,"I rarely write reviews, but this deserves it!!",https://www.amazon.com/gp/customer-reviews/RKL7L7T0MSQ4R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 19, 2024",Size: 8.5Color: W21v2 | Black,Verified Purchase,"I am not a review leaver.. I am a review user though! And I saw a lot of positive feedback about these and decided to try them.. these are the most comfortable shoes! Zero break in time, usually I’ll get a blister from new shoes but these were perfect, no blisters or wear and tear at all. I used these on a hike, then took off my socks and used them as water shoes, and running shoes! They are so versatile and comfortable I honestly think I’ll buy a couple more pairs!",2
Amazon Customer,Ouch!,https://www.amazon.com/gp/customer-reviews/R2G5FPSN9K85J1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"2.0 "," the United States "," August 18, 2024",Size: 8.5Color: W21v2 | All Black,Verified Purchase,"My problem is my big toes. The outside top corner on each of them is extremely sensitive. Therefore, I don't need them to bump up against the hardest part of the shoe, which they are. The fit is good except for the toe box. I have very narrow feet so I thought with a wider toe box I'd be ok. Not ok. I'm lucky if I can go a mile in these shoes. They may be perfect except for my issue. If there is anyone else out there with sensitive toes, these may not be what you're looking for. I use them for a quick jaunt up to my chicken coop and that's about it.",
shopper123,Good looking,https://www.amazon.com/gp/customer-reviews/R3I8EGBBLPYNZY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," August 16, 2024",Size: 5.5-6Color: W21v2 | Black,Verified Purchase,"These are good looking shoes that fit nicely and feel fine while wearing. They are super grippy. However, it is painful to walk in them. It feels like I am walking on gravel. So far I have only worn them in the house over the past 24 hours. It is more comfortable to walk barefoot or in my house slippers or even flip flops than to walk in these. I really want to love these but I don't think I can bare to wear them for a week on vacation, hiking and wading. I placed a penny to show off the tread.",37
Sara Nava,Comodidad,https://www.amazon.com/gp/customer-reviews/R16JXFHWPYRM6I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 16, 2024",Size: 9-9.5Color: W21v2 | All Black,Verified Purchase,"Si, muy comodos",
Real book worm for the novel approach,Runs large,https://www.amazon.com/gp/customer-reviews/R1XT2FE42FO7SU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," August 15, 2024",Size: 6.5-7Color: W21v2 | All Black,Verified Purchase,Too big. I sent them back.,
Cindy Kenny,The fit is awesome,https://www.amazon.com/gp/customer-reviews/R30IN66BRTOLHU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 15, 2024",Size: 8.5Color: W21v2 | All Black,Verified Purchase,They are great shoes. Looking at buying other colors.,
Deb Gunter,She wants another pair!,https://www.amazon.com/gp/customer-reviews/R2FL2IRCXB2TUT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 12, 2024",Size: 8.5Color: W21v2 | Pink,,"Loves the fit, even though it took her 2 weeks to stretch her stiff toes and strengthen her arch with this minimalist fit. This fitness trainer is a believer! She runs, walks, squats, lift weights and most times forgets that she has them. The price is right as well. I think I'll get her 2 pairs.",
Crystal,My feet hurt,https://www.amazon.com/gp/customer-reviews/R205E679UMSPZF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"1.0 "," the United States "," August 11, 2024",Size: 8.5Color: W21v2 | Black,Verified Purchase,I am a nursing home caregiver. I am on my feet 8+ hours a day. These shoes made my feet absolutely miserable. I have never hurt so bad. Do not buy these if you're on your feet more than 3 hours at a time.,4
S. Hanaway,Cute and Comfy,https://www.amazon.com/gp/customer-reviews/RKO2H64BQ8L1G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," August 5, 2024",Size: 8.5Color: W21v2 | Pink,Verified Purchase,"These are as cute in person as in the picture. Note they do run a bit small; if I had to do it over, I probably would have gone up a half size.",
Pam,Well fitting walking shoes,https://www.amazon.com/gp/customer-reviews/RJG8YZFDZBJ9O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 5, 2024",Size: 6.5-7Color: W21v2 | All Black,Verified Purchase,These barefoot shoes are great for walking and accommodate socks or no socks. The hold up well to multiple miles a day.  The sides are breathable making it so I don't have to worry about stinky shoes when I don't wear socks.,
Tesa Jewell,AMAAZINGGG!!!!,https://www.amazon.com/gp/customer-reviews/RB67C9HZVRBZM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," August 3, 2024",Size: 6.5-7Color: W21v2 | Pink,Verified Purchase,best shoes ever !! literally the most comfortable!! they were just a little big so maybe order .5 down! best decision for my hiking trip!!,2
Sammie,Comfy!!!,https://www.amazon.com/gp/customer-reviews/R8FFK2B2OTGUD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 31, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,I wouldnt use these shoes for running primarily because of the way my foot slides in the shoe even with the suction effect of the material. And yes I purchased the right size. Size is perfect! Love the color! And I can easily navigate trails with them! Would recommend!,2
