评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Vivian S.,My feet don't hurt which is unusually surprising,https://www.amazon.com/gp/customer-reviews/R1VPGRAGVAFM5T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 25, 2025",Size: 10.5-11Color: W63 | Jet Black,Verified Purchase,Love these immensely and ordering more,
Ranchers,Caused foot pain to return.,https://www.amazon.com/gp/customer-reviews/R3B573HAUCTEFT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," January 10, 2025",Size: 8.5Color: W63 | Grey/Gum,Verified Purchase,"These shoes have arches, unlike a similar looking pair, and caused my plantar faciitis to return.  I have stopped wearing them!",
Jean Hamblin,Shoes,https://www.amazon.com/gp/customer-reviews/R2VKZVFRZRH8DD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 9, 2025",Size: 9-9.5Color: W30 | Pink/Grey,Verified Purchase,The shoes are true to fit and very comfortable.,
Tru Dat,Cute,https://www.amazon.com/gp/customer-reviews/R27COXFGWCAR2Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 7, 2025",Size: 9-9.5Color: W30 | Purple,Verified Purchase,My daughter love these.  They are cute.  they are true to size.  BUY....,
Great barefoot snikers,Great deal,https://www.amazon.com/gp/customer-reviews/R30D26H8ZZ22ZO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 4, 2025",Size: 7.5-8Color: W63 | White/Gum,Verified Purchase,"I love them they are super comfy and they feel great quality for an affordable price. They fit me perfectly, I’m 7 USA or 24.5 cm and bought 38.",
Lizet,Very comfortable!,https://www.amazon.com/gp/customer-reviews/REY1HF24F8ST8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 3, 2025",Size: 10.5-11Color: W63 | Black/Gum,Verified Purchase,"Very comfortable, roomy for toes to spread and the soles have good grip!",
Lauren Nichols,Super comfortable,https://www.amazon.com/gp/customer-reviews/R38PT2F6HN23LG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 2, 2025",Size: 6.5-7Color: W63 | Black/Gum,Verified Purchase,"I love these shoes! Busy mom of three (6,4,3yearold) & always on my feet. Perfect for the gym and running errands. I get lots of compliments. I got the black with tan bottoms.",
cynthia homan,Comfort!,https://www.amazon.com/gp/customer-reviews/R2CDR6RRXW0BS1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 2, 2025",Size: 8.5Color: W30 | Green,Verified Purchase,I've actually had a pair of these for almost a year and they're my most favorite. This shoe could not be more comfortable and well made. I have to say I love these shoes!,
Yamil,Suaves para el día a día,https://www.amazon.com/gp/customer-reviews/RBDE3C6RBJ20T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 31, 2024",Size: 10.5-11Color: W63 | Grey/Gum,Verified Purchase,"Adquirí estos zapatos para entrenar, son realmente buenos y cómodos, totalmente encantada con la marca y calidad",
Carley,Truly Barefoot!,https://www.amazon.com/gp/customer-reviews/R3JK4LLPDVXHX6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 30, 2024",Size: 9-9.5Color: W63 | Dark Grey,,"These shoes were truly amazing. I have never gotten so many compliments and I have bought a few different styles of Whittens before.  These were absolutely my favorite, as they were snug. They only lasted for a year, but truly worth it.",
Lynn C.,Comfy,https://www.amazon.com/gp/customer-reviews/RQHGWZBHE6SDM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 29, 2024",Size: 9-9.5Color: W30 | Pink/Grey,Verified Purchase,"These are cute, great quality and are so comfy...I am a diabetic with balance issues and neuropathy and these help me stabilize and look cute!",
amber rose,THE BEST pair of shoes you will own — Changed my life and foot health forever!,https://www.amazon.com/gp/customer-reviews/R2GQGYDFE7TW2H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 28, 2024",Size: 7.5-8Color: W63 | White/Gum,Verified Purchase,"I have had these shoes for over a year, and I have worn them to death (as you can tell in the pictures lol!). They have traveled with me across Europe, through work, classes, and everything in-between. I struggled with plantar fasciitis because of exercise & improper sneakers (the cushion-ier, the worse-r lol). After doing a lot of research on barefoot shoes and foot health, I decided to give these a shot. I now have two pairs and wear them every single day — No more foot pain, my feet are so much stronger, and weightlifting at the gym has never been better. Seriously invest in these shoes, they’re the best price for the best value! My partner loves them and wears them every day too! Seriously recommend.",17
Santiago Villanueva Perez,Very confortable!,https://www.amazon.com/gp/customer-reviews/R1G199BHNKHJAL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 28, 2024",Size: 9-9.5Color: W63 | Jet Black,Verified Purchase,Good quality. Great feel,
Elaniece S,Didn't last as long as I thought they would.,https://www.amazon.com/gp/customer-reviews/R3H1YMVHG970LR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"3.0 "," the United States "," December 27, 2024",Size: 8.5Color: W30 | Black,Verified Purchase,Purchased shoes in April and walked about 300 miles in them. The right shoe has a hole in the area of the ball of the foot. The front is also separating front body of the shoe near the big toe on both shoes. I enjoyed them while I could.,
Bonita,Shoes,https://www.amazon.com/gp/customer-reviews/R3SNPXTU6CTJGI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"2.0 "," the United States "," December 23, 2024",Size: 7.5-8Color: W30 | Black,Verified Purchase,I did not care for these. They came up too high on my ankle and I didn't like the velcro strip,
M. Smart,Runs way small,https://www.amazon.com/gp/customer-reviews/R3IP9E0T7PNO65/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," December 23, 2024",Size: 8.5Color: W30 | Black,Verified Purchase,"Ordered my normal size, not even close to fitting, at least 2 sizes two small. And I miss my window to return so I'm stuck with them",
Beverly Reimann,These reek!,https://www.amazon.com/gp/customer-reviews/R1LSJQ1L2908C7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," December 21, 2024",Size: 8.5Color: W63 | White/Gum,Verified Purchase,These shoes reek of chemicals!  I will be putting them in the trash!,
Judy Davenport,"Need Fulfilled with this light weight, comfortable shoe!",https://www.amazon.com/gp/customer-reviews/R3HNG523COOWND/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 21, 2024",Size: 6.5-7Color: W63 | Grey/Gum,Verified Purchase,"They fit, are comfortable, were affordable, they fulfilled the need for a good workout shoe when working out with weights and core exercises, it and fit, chair dance, etc.  I'll be wearing them mostly inside. Will probably add a pair of orthotic inserts if my high arches begins to bother me. So far, I don't need the inserts. The turn around time from order submitted and shoes on my feet was phenomenal here at Christmas time.  So pleased. Merry Christmas!",7
Linda Wright,Comfortable,https://www.amazon.com/gp/customer-reviews/R22C5HDG3S1ZKM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 20, 2024",Size: 7.5-8Color: W63 | Black/Gum,Verified Purchase,Perfect fit and so comfortable to wear.,
Karen Bush,Comfortable,https://www.amazon.com/gp/customer-reviews/R1LG130GOFTV96/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 20, 2024",Size: 8.5Color: W63 | Dark Grey,Verified Purchase,"Having plantar fasciitis, I heard this kind of shoe helps. Not sure if that's true but these are cute and comfy. We'll see how lone they hold up.",
Jennifer,Perfect.,https://www.amazon.com/gp/customer-reviews/R2DX75FEXX6GW2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 19, 2024",Size: 9-9.5Color: W30 | Black,Verified Purchase,"Stepping in to a healthier life. I have 4 pairs of whitten, different styles. So happy with these shoes.",
Haylie,"Cute and comfy for toes, but feel every rock",https://www.amazon.com/gp/customer-reviews/RLBUEHX5MN3TV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"3.0 "," the United States "," December 18, 2024",Size: 8.5Color: W30 | Green,Verified Purchase,"The sole is very thin, but they are good for if you want to really feel the ground you’re on like if you were rock climbing or something or walking in rivers which is what I got them for so I could feel where I was stepping but have som grip and protection for my toes",
Kathy Clark Gainous,Great fit.,https://www.amazon.com/gp/customer-reviews/R33RRA7LCBFARA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 17, 2024",Size: 8.5Color: W30 | Pink/Grey,Verified Purchase,Tie box wide enough for toes to move.,
Emilie Kruger,Great value,https://www.amazon.com/gp/customer-reviews/R2AAPFY9G02W5W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 16, 2024",Size: 9-9.5Color: W63 | Black/Gum,Verified Purchase,"These shoes are a great value!! I wore my first pair for two years, although I only used them outside 25% of the time.  Amazing that they lasted so long, and the upper is still good, although the tread is worn down.  Highly recommend!",
Lauren,Padding on heel issue,https://www.amazon.com/gp/customer-reviews/RXM810ZC49Z7G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 13, 2024",Size: 7.5-8Color: W30 | Green,Verified Purchase,"Overall a nice lifting shoe, easy and fast to put on with the velcro and the pulley ties. Only issue is in the one shoe the padding in the back by the heel got bent and now feels strange on",
YAHNIA,My good to shoes for work,https://www.amazon.com/gp/customer-reviews/R1B33FJ1NAFK8V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 13, 2024",Size: 9-9.5Color: W63 | Jet Black,Verified Purchase,I'm on my beat most of the day at work.These shoes are surprisingly uncomfortable because they have no heal.They're flat but I like them worn more than  a year and they are still in good shape would definitely recommend!,
Kimberly,Too small,https://www.amazon.com/gp/customer-reviews/R1DW2DXGTV28YS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"3.0 "," the United States "," December 12, 2024",Size: 7.5-8Color: W30 | Black,Verified Purchase,I'm always a size 8 and these were too small,
Melissa Morgan,The most comfortable shoes I have ever worn!,https://www.amazon.com/gp/customer-reviews/R2PDTRKD1QFQDW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 12, 2024",Size: 5.5-6Color: W30 | Pink/Grey,Verified Purchase,Finally a pair of shoes that fit my wide feet! I was having to buy shoes that were a size or two too big because my feet are so wide but I can wear my true size in these. They are so comfortable!,
Peter White,Elegant & comfy with variable sizing.,https://www.amazon.com/gp/customer-reviews/R323NZGB9OPWDX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 12, 2024",Size: 10Color: W63 | Jet Black,Verified Purchase,"First pair of these that I ordered fit like a glove. By far the most comfortable and non-restrictive pair of running shoes I've ever owned. Loads of wiggle room for the toes, fit nicely adjustable across the arch. Elegant enough for dress-casual wear. And so I immediately ordered a second pair.  The second pair -- identical color, style, and nominal/labeled size -- were way too small. So, if you are on the edge of a size, DEFINITELY go one size up.",7
Lynne Todd,They have helped my feet tremendously!,https://www.amazon.com/gp/customer-reviews/RE87OMWR9KJBW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 11, 2024",Size: 10.5-11Color: W30 | Black,Verified Purchase,I love them. They are very sturdy. Comfortable and flexible.,
Kindle Customer,Great around town shoe,https://www.amazon.com/gp/customer-reviews/R21WEC75QDMBQL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 11, 2024",Size: 10.5-11Color: W63 | Light Grey,Verified Purchase,"I was looking for a sneaker that wasn't bulky and heavy. I have a wide toe box and the largest size 10/11 is perfect. Standard woman size 11.  I prefer a minimalist shoe, often barefoot most of the spring -fall months. These are very lightweight and so comfortable sometimes I forget I have them on.  I slip them on when I'm out doing errands. I'm not sure I'd go running long distances in them, but they are comfortable.Cons: Slippery on wet painted surfaces.  The elastic around the base of the ankle may annoy some",
Kimberly,Was pleasantly surprised,https://www.amazon.com/gp/customer-reviews/R36H0ZVQ5K9DAJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 11, 2024",Size: 7.5-8Color: W30 | Black,Verified Purchase,I absolutely love these zero drop shoes. My feet love them even more.,
Anne,"Great shoes, 2 year lifespan",https://www.amazon.com/gp/customer-reviews/R2IE3MW67DNSPA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 10, 2024",Size: 8.5Color: W63 | Jet Black,Verified Purchase,"I love these shoes and wear them whenever sneakers would normally be appropriate. My feet, knees, etc., are well adjusted to barefoot living and barefoot shoes. I did end up having to rip out the insole.  I'm just over the two year mark, and the sole of the shoe has separated from the upper. Not bad longevity for the price. I could probably add a thin coat of glue and get away with using them longer.",
sherley demarco,Disappointed,https://www.amazon.com/gp/customer-reviews/R1G60JQUV13MZO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," December 9, 2024",Size: 8.5Color: W30 | Black,Verified Purchase,Hurt my feet,
Amazon Customer,Comfy,https://www.amazon.com/gp/customer-reviews/R26W0IEYCYSA5T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 9, 2024",Size: 6.5-7Color: W63 | White/Gum,Verified Purchase,Just arrived and they are so nice and comfortable. I am a 61/2 to 7 and that is what I ordered and they fit perfect!,
Joy Coe,My gym shoes!,https://www.amazon.com/gp/customer-reviews/R2NDUGBPZI2G71/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 8, 2024",Size: 10Color: W63 | Jet Black,Verified Purchase,I get the same shoe every time and I wear them until the tread gives out! Great for lifting!,
The Holmquist's,NOT barefoot shoes or like any other whiten shoes,https://www.amazon.com/gp/customer-reviews/R2PSXBTZX236WD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," December 8, 2024",Size: 10Color: W63 | Black/Gum,Verified Purchase,"I’ve loved whitin shoes and own three pairs. I liked the texture on the bottom of these so I tried them out. They are terrible! They are narrow, no wide toe box, super thick base that makes them not foldable as they should be if they were “barefoot” shoes. Incredibly disappointed.",3
Peter Gorzenski,Shoes,https://www.amazon.com/gp/customer-reviews/R239R0XRAW9NSO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 7, 2024",Size: 5.5-6Color: W30 | Pink/Grey,Verified Purchase,Fells like walking on air,
Shel,"Would rate 0 stars, if possible.",https://www.amazon.com/gp/customer-reviews/R1NBYUL5G9NWUO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," December 7, 2024",Size: 10Color: W63 | Dark Grey,Verified Purchase,"My husband purchased two pairs of these shoes to suprise both myself and my daughter knowing that we were getting ready to purchase a gym membership. Unfortunately, memberships was delayed due to unexpected surgery. We've worn these shoes this week in the gym (they weren't worn outside) and both are experiencing severe foot pain. They are tight in the wrong places. Sadly, we are just outside the 30-day refund for her shoes and a week or two beyond mine. Would not recommend these shoes!!",3
Leah Powers,"Surprising Quality, Comfort & Style",https://www.amazon.com/gp/customer-reviews/RKHWLHHVVYHTQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 6, 2024",Size: 9-9.5Color: W63 | Taupe,Verified Purchase,"TLDR: I recommend this brand for everyday use!  Using their size guide we actually got shoes that fit the first time around! If you’ve ever bought shoes online before, especially for kids AND considering European sizes, that’s a small miracle.  We mostly wear them barefoot (without socks), I had a small period of adjusting my outside toe to that as expected (photographed) but now I can with ease, and if I choose a low sock the fit/wear is just as pleasant, no sliding down on the back of heel, there’s actually small cushions on the inside of the shoe I tried to picture. They’re so comfortable. I never tie or untie these, I slide on and off each wear, the sock fit is a very nice feature for me here. I included photos comparing to crocs, vivos, and hey dudes but those all have pretty wide toe boxes.  My girls, ages 5&2 loved them from the get—sparkly and beautiful, and not in a ‘in your face pink glitter for a girl’ color, they can go with or without socks (never experiencing a blister) AND they can take them on and off without help. Which holds a lot of weight for most moms.  Speaking of weight, they’re very light. They don’t feel blocky or sound like my kids are having a hard time wearing them, even with the wider toe box which is my favorite part and is likely why the fit is so comfortable for all of us. Most US made adult tennis shoes have tight toe boxes where these do not, without compromising look/style. I love the tannish beige, I accepted they wouldn’t stay ‘clean’ forever but I don’t regret my choice. They match with everything and I can wear them with every kind of bottom except skinny jeans as I just personally don’t like the look of tight jeans with a tennis shoe but I’ll wear leggings, sweats, joggers and shorts with them.  Lastly, Kids’ tend to show the quality of a shoe/brand pretty quickly. These have held up well as being our main shoe since summer 2024—parks, outside play, coaching volleyball and still nice enough for church. Current (Dec 2024) photos showing wear included.",16
Ekly,Too tight for high arch,https://www.amazon.com/gp/customer-reviews/RMZVHX74HNTKT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"2.0 "," the United States "," December 6, 2024",Size: 8.5Color: W30 | Black,Verified Purchase,"I like the overall appearance, the cushioning is good , the space for rows are great, but it hurt the back of my heals and I cannot close the strap because is too tight on my high arches",
Martha V,Great shoes,https://www.amazon.com/gp/customer-reviews/R2N8BIASV0ODJZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 5, 2024",Size: 10.5-11Color: W30 | Black,Verified Purchase,"I really like these shoes as this is my fourth pair. For me they last about 18 -20 months wearing them almost every day walking on paved roads and nature trails. I bought my first pair after I had plantar fasciitis about 5 years ago and I’m happy to say it has not returned since. They are light, airy and I haven’t had any issues with their functionality. I would definitely recommend to anyone looking for zero drop shoes, especially for the price.",
PJ,Game changer for exercise walking,https://www.amazon.com/gp/customer-reviews/R2B4IXB2AAIDOW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 5, 2024",Size: 10Color: W30 | Purple,Verified Purchase,So comfortable! Large toe box completely resolved foot pain. Affordable . I bought three pairs different colors.  Buy them!😉,
Ann Lyman,Good shoes,https://www.amazon.com/gp/customer-reviews/R2HSENCKS0W236/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 4, 2024",Size: 7.5-8Color: W63 | White/Gum,Verified Purchase,I do like these shoes I had to go up a size,
debbie sosa,Difficult to put foot in,https://www.amazon.com/gp/customer-reviews/R3J0CE21CSADGA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"2.0 "," the United States "," December 2, 2024",Size: 6.5-7Color: W30 | Pink/Grey,Verified Purchase,These shoes are difficult to get into!!! The flap is awkwardly sewn down. I’m returning them,
Ms. Tisha,Short!,https://www.amazon.com/gp/customer-reviews/R3O54WVFY4AJ2D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 1, 2024",Size: 7.5-8Color: W30 | Black,Verified Purchase,Too short - I usually wear 8W.  These were a size 38 (European).  My toes went all the way to the end.  They may run smaller?  Order a size bigger.  Look well made.,
Susan B.,Not all colors fit the same,https://www.amazon.com/gp/customer-reviews/R1CTWWES61CRX1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," December 1, 2024",Size: 10.5-11Color: W30 | Pink/Grey,Verified Purchase,"I love, love the barefoot shoes. Last spring I ordered the green pair from this brand and they were perfect. I wore them so much that I wore them out (wore a hole in the toe area). I just bought this brand's grey with pink trim to replace the green ones and found the grey ones are much narrower than the green ones so they do not fit my feet as well. I still like them, but just not as much as the green ones. Therefore - if you have narrower feet, go for the grey ones. If you have wider feet, go for the green ones (I can't speak to the other colors).",
MaryJane Yeaton,No more foot pain,https://www.amazon.com/gp/customer-reviews/RTEIMGMSNEUIX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," December 1, 2024",Size: 5.5-6Color: W63 | Jet Black,Verified Purchase,I have bought expensive sneakers and they all hurt my feet. I have supination and sneakers with a thick sole hurt the outside of my feet. I also have high arches and always need insoles. These are the best sneakers I’ve owned! It feels like walking barefoot. No more pain!,
Nance,Returned - not for me,https://www.amazon.com/gp/customer-reviews/R8TLW9V83UKR6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," November 30, 2024",Size: 9-9.5Color: W63 | White/Gum,Verified Purchase,"Maybe it's 'cause I'm not a trail runner, but these were not for me. Maybe just too different. Maybe just flat out not good. I don't know.",
Nicole lynn,Like wearing gloves on my feet!,https://www.amazon.com/gp/customer-reviews/R3MC3LPEM79RLY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," November 28, 2024",Size: 8.5Color: W30 | Purple,Verified Purchase,I bought these to wear for work and love them. They're a little big on me but they feel like wearing gloves or slippers on my feet. They wrap around your foot and are comfortable after being on your feet all day. Very high quality material,2
