评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Martha,Love them,https://www.amazon.com/gp/customer-reviews/R38TYIB2GK4RRU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 23, 2025",Size: 6.5-7Color: W30 | Grey,Verified Purchase,I loved my first pair so much I ordered another pair.  My toes can spread out when walking.  It feels like you are bare footed.,
Melissa Kaplafka,not a paid ad,https://www.amazon.com/gp/customer-reviews/R3J7H6F1CRKHNV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 23, 2025",Size: 10.5-11Color: W30 | All Black,Verified Purchase,i got 2 pairs i alternate and they feel great definitely don’t push toes together like normal shoes. an adjustment period if you’re used to regular shoes but if you walk around barefoot a lot you’ll enjoy right away. i’ve hiked in the mountains with them and used on my elliptical. note! these are slick and could use a better grip. i’ve definitely bust my a** this winter a few times😅,
T. Graham,Great for my yoga class,https://www.amazon.com/gp/customer-reviews/R39FVE86QLR12I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 23, 2025",Size: 7.5-8Color: W20 | White,Verified Purchase,I use these for my yoga class. Super flexible and lightweight.,
Kaii,Comfortable but can be slippery on wet rocks,https://www.amazon.com/gp/customer-reviews/R3N6HFVM3GUGEC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," January 23, 2025",Size: 8.5Color: W20 | Pink Grey,Verified Purchase,"Comfortable shoes, but they are slippery on wet rocks.",
lg,not very attractive,https://www.amazon.com/gp/customer-reviews/R2UD0BBAIO7JC2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"2.0 "," the United States "," January 23, 2025",Size: 7.5-8Color: W30 | Grey,Verified Purchase,too wide and unflattering on my feet.,
Thomas,Wife dislikes'em,https://www.amazon.com/gp/customer-reviews/R1SWM4U0KL2TDM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 23, 2025",Size: 8.5Color: W20 | Red,Verified Purchase,"Update: There are many shoes in this house. Upon further review it was discovered these were not liked by my wife. They exacerbated a sore spot on the bottom, center of her foot in the pads. Not enough padding.  In my opinion: Quality product that is as described.",
Kristi,Comfy Different So Far So Good,https://www.amazon.com/gp/customer-reviews/R18NF1BK22QQRW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," January 22, 2025",Size: 7.5-8Color: W20 | Purple,Verified Purchase,So comfy I don’t even wanna take them off. Just got them today. Will take time to know how my feet like them or if they will be something I wear often. But so far really enjoying the feel. Toe room is nice. Only bummer was the strings used to tighten are attached to a sticky thing that connects to shoe to keep them from moving all around. One of the strings on my right shoe ripped off as soon as I went to tighten the clasp. So that sucks. But what can you do… nothings perfect.,
Denise J.,Most comfortable shoes ever,https://www.amazon.com/gp/customer-reviews/R1XX73MQT3WPXM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 21, 2025",Size: 9-9.5Color: W20 | Grey,Verified Purchase,These are the best shoes I’ve ever worn! I’ve had two bunion surgeries on both feet and have always struggled to find a comfortable pair of walking shoes. These are more comfortable than a famous brand with orthotic footbed. These have arch supports and I’m 72 years old and feel very stable and balanced!,
Frances Martinez,Perfect fit.,https://www.amazon.com/gp/customer-reviews/R9R1SHLFICOHO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 21, 2025",Size: 5.5-6Color: W20 | Dark Grey,Verified Purchase,They fit perfectly and very comfortable,
Bianca,Great!!!,https://www.amazon.com/gp/customer-reviews/R26W5EE3Q0U9TM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 20, 2025",Size: 5.5-6Color: W30 | All White,Verified Purchase,Gets dirty easily but does the job,
Shelli Smith,Don’t hesitate… Buy them!,https://www.amazon.com/gp/customer-reviews/R1NM28AXQ4PA0H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 20, 2025",Size: 9-9.5Color: W20 | Light Blue,Verified Purchase,"I had ordered another brand and returned them immediately.  I did some more research and settled on these after they were nominated as one of the best barefoot sneaker on a review website. I received them today and absolutely LOVE them!  Use the Euro size chart for sizing. If you’re not sure, trace your foot on paper, measure it and convert the inches to the Euro size on a conversion site (Google it).Anywho… these shoes are so comfortable! I don’t even feel like I’m going to have to break them in. They have plenty of room in the toe box and there are no seams that press into my foot. I don’t have a “true” wide foot so I’m not sure if they’re actually wide or if it’s just wide in the toe box bc the middle and back of the shoe fits like a glove. I’m not a fan of the elastic laces but twirled them around and secured them so they don’t stick up on top of the shoe. It works and isn’t a deal breaker. I went out on a limb and bought the aqua blue but was a little hesitant bc they looked so bright in the pic. However, when I got them they are perfect. Yes, they’re bright but look amazing on my feet. They slip on and off easily enough and really are indeed slip resistant. They have some arch support but not a lot. If I was truly barefoot, I would have no arch support so it’s not an important feature.  I’m not sure about the durability but even if they only last 6 months, I can buy a new pair and still spend less than one pair of all other name brand sneakers.  I will definitely buy more of these shoes!  Don’t hesitate… BUY THEM!",
buttercup,Not worth it,https://www.amazon.com/gp/customer-reviews/R36QGKRQKXQ49S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 20, 2025",Size: 7.5-8Color: W20 | Red,Verified Purchase,"Was misled by reviews. Not comfortable, too early to comment on durability but just don’t waste money buying this shoes.",
xinyi martin,"very comfortable shoes, will buy again",https://www.amazon.com/gp/customer-reviews/R5W93YU6B2A6P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 20, 2025",Size: 8.5Color: W30 | Black Gum,Verified Purchase,"Super comfy and durable, will buy again soon.",
Kindle Customer,New colors in the Velcro version! Yay!!,https://www.amazon.com/gp/customer-reviews/R1TUD5YDXRYHWF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," January 18, 2025",Size: 9-9.5Color: W20 | Red,Verified Purchase,"Thank you for the new colors in the velcro version! I'm so excited! Got my first pair in May of 2019. The purple and black velcro version. Immediately got the orange. I love these shoes! I came from very expensive, built up shoes for my narrow, flat feet. Had expensive orthotics as well. Lots of lower back, hip and knee pain. Finally started getting what looked and felt like a bunion. Dr. Google suggested minimalist wide toe box shoes. Tried the joomra's and I've never looked back. I have also tried lots of different wide toe box brands that are sold here on Amazon and always had to return them. The Joomra's (aka Whitin's) with the velcro straps are the only ones that work for me. The tongue on the non velcro version is irritating. I've bought every color of the velcro version that they've had. That's why I'm so excited for the new colors. I still have and still wear the ones I bought in 2019. I rotate them weekly. Also still can't beat the price. I think they were thirty something dollars when I first bought them. Previous shoes, I was lucky if one pair was $160. $180 to $200 was the norm. Now I can get three shoes for that price. My knee and hip pain are gone. Cons: There is a learning curve to walking in them. Can't do the hard heel strike with minimalist shoes. There's also a learning curve in feeling every rock, stick and pebble. Now I don't even notice. The one downside of no padding is the bottom of my feet can be a little sore by the end of the day. My job has a concrete floor. PS- I've had to replace a couple of the insoles. The whitin store used to sell the yellow ones that come in the shoes. Now they only have a blue version that's a little different. I'll have to see how they work out. Also, try toe socks- game changer.",
Jo-Anne,Outstanding!!!,https://www.amazon.com/gp/customer-reviews/R28ECC2AICB7GR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 17, 2025",Size: 10Color: W30 | All Black,Verified Purchase,Believe the hype. These barefoot sneakers are incredibly comfortable. Feel just like walking barefoot but with protection and stability.,
Amanda,Light weight and gives me better balance.,https://www.amazon.com/gp/customer-reviews/RALAPOQ48YCDD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 17, 2025",Size: 8.5Color: W20 | Dark Grey,Verified Purchase,"I bought these for work. I have neuropathy in my feet from chemotherapy. My feet get incredible hot.  These are lightweight. My feet do not melt in them and I feel that has helped with my neuropathy. I have better balance with these, vs running sneakers. They are true to size and because of the design. The toe box has more room for your toes. They have good traction inside. A little slippery on snow. I am not sure how they would be on wet rocks..",
Amazon Customer,Good for house shoes,https://www.amazon.com/gp/customer-reviews/R2TZI3ZQ16Q9YM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"3.0 "," the United States "," January 17, 2025",Size: 10.5-11Color: W30 | Black Gum,Verified Purchase,"No support, good traction, I would wear at the lake or on a boat but i wouldn't use them for anything else",
Sue LuQuire,They work for people with hammertoe,https://www.amazon.com/gp/customer-reviews/R3R8FZ423U2XGG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 17, 2025",Size: 9-9.5Color: W30 | All Black,Verified Purchase,These shoes are dynamite. I am going to buy some more there wide. They have room in them for my toes to spread apart because I do have a hammer toe And it is not bothering me at all my toes have room to spread out well worth the money,
Mama,No support,https://www.amazon.com/gp/customer-reviews/R1L9HZRTOC9G95/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 16, 2025",Size: 10.5-11Color: W30 | All Black,Verified Purchase,I really wanted to like these. While they have allowed my feet to grip the ground well…the arch support is non existent. I got these for my daily walks and I can feel the lack of arch as pain in my knee and inner thigh. I will update this review if anything improves in the next month from daily exercise using these.,
sally mclaughlin,Shoes,https://www.amazon.com/gp/customer-reviews/REF8M13CW6IR5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 16, 2025",Size: 9-9.5Color: W20 | Dark Grey,Verified Purchase,I find the shoes very comfortable,
Rita,Walking as your feet were intended to do!,https://www.amazon.com/gp/customer-reviews/R3BFZ6S7C3JARM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 15, 2025",Size: 6.5-7Color: W30 | Black Gum,Verified Purchase,"Size was perfect!  The wide toe box allow my toes from feeling cramped.  They are strong and lightweight, slip resistant minimalist shoes that are comfortable to wear on long walks.",
MCL,So far so good,https://www.amazon.com/gp/customer-reviews/R2JKRLLR1DF2CW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 15, 2025",Size: 6.5-7Color: W20 | Red,Verified Purchase,I bought the red shoes and they are very pretty.  I love the color!  These shoes are also very comfortable. I did a 110 jumping jacks wearing these shoes and then I ran a mile. I wanted to see how my legs and feet would feel the next day and all was well. I will do a longer run with them on today and see how my legs and feet feel tomorrow. So far these have worked out very very well.,
Mimi,Not good for outdoors,https://www.amazon.com/gp/customer-reviews/R2I1IMDNLL6VGP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 15, 2025",Size: 7.5-8Color: W30 | Beige,Verified Purchase,"Very stretchy fabric allows foot to move sideways over sole edge, foot move forward so feels too short. There is No toe separation inside the shoe!! Only carved into outside of sole- so that ""feature "" is non existent. The toe box is wider but that only allows foot to slide side to side as you walk. OK for at home, indoors- not good for run, walk outside , or all day at work- has no arch support. I returned these.",
Laura S.,So Pink!,https://www.amazon.com/gp/customer-reviews/R11O9IRZ0I3V5R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," January 14, 2025",Size: 7.5-8Color: W20 | Pink,Verified Purchase,"I love the shoe. Great design! I got the 7.5 - 8. I am a size 8 and these could be a tiny bit bigger. Also, the color! On Amazon they look like a soft pink. In reality, they are closer to the color of Pepto Bismol. I like them, anyway. Keepers, but just barely.",
Suzyq,So comfy,https://www.amazon.com/gp/customer-reviews/R1NPQTA81OWVXI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 13, 2025",Size: 6.5-7Color: W20 | Red,Verified Purchase,Comfy to my toes.  Love the fit around ankles.,
Amazon Customer,Stiff….,https://www.amazon.com/gp/customer-reviews/R1BHE4S7FIC8OZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 13, 2025",Size: 7.5-8Color: W30 | All White,Verified Purchase,Returned.  Very stiff.,
RCB Homes,Super comfy,https://www.amazon.com/gp/customer-reviews/R212G2G49K38IY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 12, 2025",Size: 7.5-8Color: W30 | All White,Verified Purchase,Great fit. True to size. Comfortable toe box with lots of space. Light weight. Good sole grip. Love that they are washable. Very breathable.,
Mary Renda,This shoe looks great.,https://www.amazon.com/gp/customer-reviews/R3FGNN5QT23TRN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 12, 2025",Size: 6.5-7Color: W20 | Dark Grey,Verified Purchase,No comfort on the ball of feet.,
Mo,Size matters,https://www.amazon.com/gp/customer-reviews/RXIPQUTWAMNWU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"2.0 "," the United States "," January 11, 2025",Size: 8.5Color: W20 | Black,Verified Purchase,Said it was wide with bit maybe it depends on where product was made because most aid width fits me but this pair absolutely did not,
3D,Extremely Comfortable,https://www.amazon.com/gp/customer-reviews/R2NQ8YMCM6VRPT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 9, 2025",Size: 8.5Color: W20 | Rose Red,Verified Purchase,Extremely comfortable,
Stefanie,Minimalist shoe,https://www.amazon.com/gp/customer-reviews/R11G4LU2ZX5JLK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," January 9, 2025",Size: 8.5Color: W30 | Grey,Verified Purchase,"I used these shoes once outside and a couple of times indoors on a treadmill.  I am a seasoned marathon runner and I own around 25 pairs of different runners, that are all in use.  I strongly believe, that alternating different types of running shoes on a daily basis, helps me to prevent injuries. Every pair of shoes, trains, my feet in different ways. They all have different cushioning, different heel to toe and different toe boxes, that challenge the muscles in my feet, legs…in different ways.  The Joomra minimalist shoes should be used sparingly to begin with, to give yourself time to get used to the different pounding of your feet.  I am not sure I would use these shoes for trail running. They have next to no cushioning, zero ankle support and I am not sure that I would trust the sole should I hit a sharp stone.  Nevertheless, for harmless, flat trails or for occasional street runs they are a good addition to other running shoes.  I like the best for treadmill running.",
SHARON OBRIEN,so comfy,https://www.amazon.com/gp/customer-reviews/R2QWN018I8U3NE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 8, 2025",Size: 5.5-6Color: W20 | Dark Grey,Verified Purchase,Oh such comfort is found in wearing this shoe.  At 78 (F) I've never had such a cumfy shoe on these little high arched feet.  So appreciate this product - I have 3 pairs hoping they'll last me for the rest of my days.,
Adrianne Buckner,10/10 Recommend!,https://www.amazon.com/gp/customer-reviews/R1PGCRM7IQSA8W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 7, 2025",Size: 9-9.5Color: W30 | Black Gum,Verified Purchase,"Super comfortable and durable. I have flat, wide feet and they fit like a glove. Will be buying another pair!",
skippyv,Sizes are very inaccurate,https://www.amazon.com/gp/customer-reviews/R246ZATM6FLKKQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 6, 2025",Size: 10Color: W20 | Rose Red,Verified Purchase,Material is stiff and bunchy,
eMogirl1980,Nurse approved,https://www.amazon.com/gp/customer-reviews/R3DKB0R6LOB4EJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 5, 2025",Size: 9-9.5Color: W30 | All Black,Verified Purchase,"Middle aged, overweight, congenital flat footed nurse here. These shoes are amazing! The only downside is they are not super water resistant Am buying a second pair!!!",
Nelly,Light,https://www.amazon.com/gp/customer-reviews/R39HJUMI1QZSWR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 5, 2025",Size: 11.5-12Color: W30 | All Black,Verified Purchase,No cushion really but very comfortable and easy to put on doesn’t squeeze my foot in any way like walking barefoot I use them to work out but if you have flat feet like me not good for walking,
debra g,They stay on,https://www.amazon.com/gp/customer-reviews/RFOQ9OC0STAZG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 4, 2025",Size: 10Color: W30 | All Black,Verified Purchase,"Good price, they don’t slip off of your foot. Very comfortable, nice looking a variety of colors, and sizes.",
Eliza,Lots of space for my little piggies,https://www.amazon.com/gp/customer-reviews/R1KAP7YAWT6UYU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 4, 2025",Size: 7.5-8Color: W20 | Purple,Verified Purchase,"I bought these to wear to work; I'm a veterinary technician and I spend most of my day standing, scurrying, bending, kneeling and squatting. I also have plantar fascitis and my toes sometimes feel crunchy, for lack of a better word. It took about a week for my feet to acclimate to these shoes and it was worth it! I've been wearing them for over a month and I can feel my feet getting stronger! No blisters and breaking them in was fairly painless, but know that it will take time for your dogs to stop barking if you've never worn this style of show before. I love that they are easy to slide on and off, they are true to size, and I think they are definitely ugly-cute. The soles are durable and flexible, I would purchase these again.",
Amazon Customer,Comfort,https://www.amazon.com/gp/customer-reviews/R23XVMFRON82LT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 4, 2025",Size: 10Color: W30 | Orange,Verified Purchase,These barefoot shoes are very comfortable! Fit perfectly.,
nonnaC,One legged and can finally walk without pain!,https://www.amazon.com/gp/customer-reviews/R1UP2LMI14YL1I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 4, 2025",Size: 7.5-8Color: W20 | Dark Grey,,"Thank you so much for these shoes! Yes I’m an amputee for the past 41 yrs and rely on the good leg to walk normally. Now with the years gone by I have gotten a bunion, corns, and awful pain when walking. Second toe overlaps my big toe, have worn tennis shoes but still hurts, I’d even acquire blisters! Tried them on and my foot felt like I was on a cloud! Best part when I took off shoe, my toes were all flat on ground and straight, even the bunion was smaller! Hope it stays this way, I so will pass this info onto an amputee group I’m in . People of your feet hurt, it’s worth trying, I know I’m getting more pairs",
Jennifer Cook,Okay.,https://www.amazon.com/gp/customer-reviews/R1BYTN88R9OXI6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 3, 2025",Size: 6.5-7Color: W20 | Red,Verified Purchase,Feet get hot. Makes me feel hot all over. Only would wear on cold days.,
Amazon Customer,Lost or missing stitching,https://www.amazon.com/gp/customer-reviews/R9FJ5C618H4I7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," January 2, 2025",Size: 10.5-11Color: W20 | Purple,Verified Purchase,Stiching on both shoes have missing stitching,
Brittany Daniels,"Left ""shoes"" and never looked back",https://www.amazon.com/gp/customer-reviews/R1Z5APX4IO0F6M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," January 2, 2025",Size: 7.5-8Color: W20 | Brown,,"I love these shoes! They offer just enough support to keep you climbing and hiking. The vents allow for easy drying if they get wet, and the sinches make it more convenient than laces. the best part is that it allows my foot to be just that!",
Amira Golan,"Very comfortable, very light in weight like it a lot!",https://www.amazon.com/gp/customer-reviews/R24RMZKC0E81IH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 2, 2025",Size: 9-9.5Color: W30 | All Black,Verified Purchase,"The size is perfect, the wide part is very comfy.",
Teacher,Where Have You Been All My Life?,https://www.amazon.com/gp/customer-reviews/RMEF4OSF49JZA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 1, 2025",Size: 7.5-8Color: W20 | Purple,Verified Purchase,"I hate wearing shoes. I live shoes, but I want them to feel like I'm not wearing shoes. I want them to be cute and cozy, but useful in case I need to run or climb something.  These shoes are everything and more.  And PURPLE! YOU GUYS. Dark, beautiful, purple.  I might buy 50 more so I can always have them for the rest of my life.  Bunion pain? NOPE! Planter Fasceitius? Never heard of it. Arches? Supported. Long walks? Perfect. Off road? Yep!  Love these shoes. I hope they last forever.",6
carley bartholomew,Toes,https://www.amazon.com/gp/customer-reviews/R3VHTB3PRL4QVU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," January 1, 2025",Size: 5.5-6Color: W20 | Pink,Verified Purchase,"Kinda ugly in person but they worked for my feet at my retail job, it was a huge difference",
Searcher,Comfy & Stylish at a super price,https://www.amazon.com/gp/customer-reviews/R28CSWXKDV0HZL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 1, 2025",Size: 10Color: W20 | Pink Grey,Verified Purchase,"Got these for Xmas for our daughter- she loves them! Super light, thin, comfy and well built.",
Whitney,True to size,https://www.amazon.com/gp/customer-reviews/R21ORO37LHQPGU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 1, 2025",Size: 9-9.5Color: W20 | Purple,Verified Purchase,Absolutely outrageously comfortable.  I weigh 250 and need a good shoe to walk....amazing how they feel like I'm barefoot but at the same time make walking so comfortable,
Leslie Jackson,Very comfortable,https://www.amazon.com/gp/customer-reviews/R260OPEPXXKQ6S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," January 1, 2025",Size: 8.5Color: W30 | All White,Verified Purchase,"Athletic shoes that are all white and that I like are difficult to find.  I bought these on a whim having worn out my sketcher step ins.  I feel like these are as comfortable as flip flops and slide in that I normally wear.  Initially, I thought they looks odd, but got over that hesitation shortly after wearing them out and about.",
Mia,Looks cheaply made,https://www.amazon.com/gp/customer-reviews/R28EXH6YES5TT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"2.0 "," the United States "," December 31, 2024",Size: 7.5-8Color: W20 | Red,Verified Purchase,"They don’t look like the photo, glue was visible completely around the top trimming. I purchased the white and the red shoes. I returned them both. It was true to size but the width was too wide for me and I’ve always thought I had a wide foot. It was a comfortable shoes but it wasn’t “pretty” enough for me and it looked cheap although the quality was not bad.🌺",
