评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
pimpslaper707,Great,https://www.amazon.com/gp/customer-reviews/R5GBW0P00C3F7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," March 7, 2024",Color: Matte Black + Carbon Fiber Print | Smoke,Verified Purchase,Great,
Beerarchy,Does not have flex hinges!,https://www.amazon.com/gp/customer-reviews/RDQ1RAG6KP511/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," March 6, 2024",Color: Army Green | Smoke,Verified Purchase,"We have ordered these in the past, but on this order we received glasses that did not have the flexible hinges. We specifically ordered these for the flex hinges.",
Kerry,looks nice,https://www.amazon.com/gp/customer-reviews/R16X6H419TVRSD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"4.0 "," the United States "," December 12, 2023",Color: Tangerine Orange | Smoke,Verified Purchase,"Came in a timely manner, fit great and worked as part of a halloween costume",
Terri,Glasses for a sharp dressed man.,https://www.amazon.com/gp/customer-reviews/R3QDTDHCZMWSAJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 22, 2023",Color: Gloss Black | Smoke,Verified Purchase,"We got these for a wedding.  The groomsmen looked great.  Good fit for teenagers and up. Made well,  perfect. Just what we wanted.",
Carol Ramsey,"Very sturdy and our patients comment on style, want to take with them",https://www.amazon.com/gp/customer-reviews/R2X6EK8Q6W4RDC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 21, 2023",Color: Army Green | Smoke,Verified Purchase,Variety of colors Patient protective glass,
Yamillette,Good quality,https://www.amazon.com/gp/customer-reviews/R3K1AXJYEXIWHC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 17, 2023",Color: French Vanilla | Ash Brown,Verified Purchase,Perfect for my bridesmaid proposal,
Happy mommy,"Ok, not great",https://www.amazon.com/gp/customer-reviews/R39CHS1FYZHUTK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"3.0 "," the United States "," August 11, 2023",Color: Matte Black | Smoke,Verified Purchase,Black finish rubs off over time,
Bob G.,The arms of the glasses break very frequently and are not durable.,https://www.amazon.com/gp/customer-reviews/R129W02S7R4MZ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"2.0 "," the United States "," July 29, 2023",Color: Matte Black | Smoke,Verified Purchase,"They look good, work good but break easy.",
Tonya Barnes,Great value,https://www.amazon.com/gp/customer-reviews/RL8UEUDUZOEYX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 9, 2023",Color: Transparent Floral | Smoke,Verified Purchase,Bought for happy mail packages for customer.  They are perfect.,
Raeanna talley,Good value,https://www.amazon.com/gp/customer-reviews/R1518AKNN56IRF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," June 29, 2023",Color: Matte Black | Smoke,Verified Purchase,These sunglasses work and are sold for an excellent price.,
Brooke Reiser,Perfect,https://www.amazon.com/gp/customer-reviews/RNW7QVZM5XOJA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 29, 2023",Color: Brilliant Rainbow | Smoke,Verified Purchase,I absolutely love these. They fit my face. The colors are vibrant. They are perfect for me.,
Sabrina Ramey,Was what I wanted,https://www.amazon.com/gp/customer-reviews/R2GWHBITO5FAQQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 17, 2023",Color: Transparent Floral | Smoke,Verified Purchase,Loved the pattern .. gave these as gifts to my ladies on my team .. great for our Vegas vacation.,
Clark Bell,Good glasses,https://www.amazon.com/gp/customer-reviews/RKG69DYNNKBJ7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 16, 2023",Color: Gloss Black | Smoke,Verified Purchase,These have spring hinges on the arms! Bought for use on stage and are dark enough to hide your eyes but not so dark you can't see!,
HalfTspTurboLax,These things are GREAT!,https://www.amazon.com/gp/customer-reviews/R1W669XQTB766W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 12, 2023",Color: Classic Tortoise | Brown,Verified Purchase,Awesome price for about average glasses. Lenses will sometimes pop out upon falling off because they doesn't quite stay on top of your head due to the springs that allow for over fitment but can't beat the price!,
California Mom,Great for kids who lose things and they block UV,https://www.amazon.com/gp/customer-reviews/R1JX4OCJGEEAG8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 1, 2023",Color: Matte Black + Green Camo | Smoke,Verified Purchase,"I bought these for my sons 7 and 10.  I was worried they'd lose sunglasses, so now we have plenty in case they lose a pair.  I like that they block UV (I have a UV meter that I use at work and checked them- I was doubtful due to the price and since they are not made in America, but the meter proved they are a good UV Blocker!!)  We gave away a few pairs to friends at playdates.  They seem a little large on my 7 year old, but they are ok.",
Kelli,Great quality for the price.,https://www.amazon.com/gp/customer-reviews/R31ML17M9VRMFZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," April 14, 2023",Color: Buffalo Plaid | Smoke,Verified Purchase,Better than I expected for bulk sunglasses.  They were a hit with the people I shared with.  Buffalo plaid pattern is a thing with my family!,
Kate,Great Gift,https://www.amazon.com/gp/customer-reviews/R2EFEHT9X9XME5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," February 27, 2023",Color: Imperial Maroon | Smoke,Verified Purchase,Got the maroon color for a bachelorette party gift and they are perfect great color and quality! Definitely worth it!,
Happy Traveler,"Very cute, but cheaply made- you get what you pay for!",https://www.amazon.com/gp/customer-reviews/R3SVI8L32FI64L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"4.0 "," the United States "," February 4, 2023",Color: Brilliant Rainbow | Smoke,Verified Purchase,"I bought a 10-pack of these glasses because I had purchased a single pair at a local shop that I loved. They felt well made and had a snug fit, so I wasn't always pushing them up. However, that pair broke. The frame and one lense cracked while I was shoveling snow. I looked on Amazon, and visually they appeared to be the EXACT same thing. But the glasses I received were definitely lower quality than the ones I purchased at the local shop. The frames look identical, but the hinges are a different style. The writing on the inside of one of the arms was different. For the price, these are not bad at all. But I was disappointed because I thought I had found the exact same glasses and these are not quite it. I will still wear these, and will probably give several pairs away to friends, but I might also go back to that shop and buy myself another pair of the higher quality glasses.",
Ashley,Great gift for Bridal party,https://www.amazon.com/gp/customer-reviews/R1AA83QZ74E03B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," January 18, 2023",Color: Matte Black + Wood Print | Smoke,Verified Purchase,These have been a great gift for our bridal party!,
Micah W.,Good for price. Breaks easy.,https://www.amazon.com/gp/customer-reviews/R8PFW6OPXZZIS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"3.0 "," the United States "," November 28, 2022",Color: Matte Black | Smoke,Verified Purchase,Great for personalizing. They were good for the day we needed them to be good for but the glasses broke within a the week of using them. Was hoping these glasses would last longer and since they were personalized.,
W Family,Had bought the pink ones -twice- previously and these seem less sturdy?,https://www.amazon.com/gp/customer-reviews/RV1WVO9IPEF64/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"3.0 "," the United States "," November 20, 2022",Color: Matte Black | Smoke,Verified Purchase,"I had purchased the pink version of this item *twice* and was very pleased with them, yet with this item the arms seem more flexible and pliable, like the plastic that is used is less sturdy?  The pink frames were very rigid, whereas the black frames are more pliable and flexible, making them seem cheaper.",
Mohamed Thasthageer,nice,https://www.amazon.com/gp/customer-reviews/R2IHITE1517XS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," November 10, 2022",Color: Gloss Black | Clear Lens,Verified Purchase,worthy,
Tami Haas,Great Quality,https://www.amazon.com/gp/customer-reviews/R2XH5RZFA1M8JC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 10, 2022",Color: Royal Blue | Smoke,Verified Purchase,These sunglasses were great for our team event.  A big hit.,
Cheryl.Campbell82,Buy these- they are great!,https://www.amazon.com/gp/customer-reviews/RTOUFL9JBEICG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 7, 2022",Color: Gloss Black | Smoke,Verified Purchase,I love the design and these were great quality! My friends loved getting them in their gift bags and I’m loving the extras for my own use.,
Garrett,Plastic frames break too easily.,https://www.amazon.com/gp/customer-reviews/R1618Q20TQPH3E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"2.0 "," the United States "," September 24, 2022",Color: Matte Black | Smoke,Verified Purchase,"They fit fine, lenses are descent, but the frames break easily at the thinnest point above your cheek. Too fragile. I’ve broken 4 frames in the same area just putting them on. The frames feel a bit brittle and just a tiny bend or twist will snap the thin plastic frame. Once you crack the frame the lens falls out. I would not order again. It looks like a box of 10 will only last me a couple months.",
pgoody,perfect for some Blues Brothers fun time,https://www.amazon.com/gp/customer-reviews/R1K6AJ4KB0TQO5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 22, 2022",Color: Gloss Black | Faded Smoke,Verified Purchase,good looking reasonably priced sun glasses for fun time group gatherings or parties. Work perfect for our Blues Brothers themed celebration. UV protected as well.,
Francis,Very Good for the price,https://www.amazon.com/gp/customer-reviews/R1OLMWCC2NEAO2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 4, 2022",Color: Matte Black | Smoke,Verified Purchase,"Very Good for the price. Every time I wear em' ZZ Top's ""Cheap Sunglasses"" plays in my head.",
Angela Day,Really comfortable!,https://www.amazon.com/gp/customer-reviews/R1SI90HRZRINV8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 12, 2022",Color: Navy Blue | Smoke,Verified Purchase,"Feels like good quality, especially for the price and comfortable - no rough edges or pinching.",
Amazon Customer,Safety glasses for program,https://www.amazon.com/gp/customer-reviews/R37MYXLJMX94X0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 6, 2022",Color: Brilliant Rainbow | Smoke,Verified Purchase,Perfect for what I needed,
Kodiak,Great and inexpensive,https://www.amazon.com/gp/customer-reviews/R1NCV8X3W107J9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 2, 2022",Color: Crystal Clear | Smoke,Verified Purchase,"Cheap, solid, awesome for pool days",
Matt B,These truly are excellent,https://www.amazon.com/gp/customer-reviews/R29UK2FBTFNRQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 28, 2022",Color: Navy Blue | Smoke,Verified Purchase,"They even have spring back arms on them! These are about $12 sunglasses from Target quality for $2.50. Pretty great. My only regret is that I have been through sooooo many sunglasses because of scratched lenses, sitting on them, losing them etc.... before finding these.",
MC,Big and loose,https://www.amazon.com/gp/customer-reviews/R1BW2273W9GCLA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"2.0 "," the United States "," July 27, 2022",Color: Brilliant Rainbow | Smoke,Verified Purchase,"These are fine. I don’t have a small head; in fact, I wear sized hats > 24”. These are just big and loose.  They will fall off the face of most adults.",
Kira Jones,Great quality!,https://www.amazon.com/gp/customer-reviews/RIXAHI548QUNK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 13, 2022",Color: Matte Black | Smoke,Verified Purchase,Great product for the price!,
Brian Wilson,"exactly what I expected, exactly what I needed",https://www.amazon.com/gp/customer-reviews/R5GBHQIIKCJ10/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 10, 2022",Color: Matte Black | Smoke,Verified Purchase,Perfect for a party favor intended for short term use,
Jared,Amazing product,https://www.amazon.com/gp/customer-reviews/RNV2KLOHIZBP1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 10, 2022",Color: Gloss Black | Smoke,Verified Purchase,I love these sunglasses! This deal is fantastic. One of the best value purchases I’ve made in recent history.,
Fatima Ramos,Package says 10 and I only received 8,https://www.amazon.com/gp/customer-reviews/R5JC4IZ1DDN16/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"3.0 "," the United States "," June 22, 2022",Color: Gloss Black | Ice Blue Mirror,Verified Purchase,"Glasses are good for the price, not high quality, but a good semi disposable set for the beach or pool... the only problem is I ordered a pack of 10 for a group of 10 people and only received 8, I'm not going to be able to use them for the purpose I got them for. Very disappointed.",
PVD,Great cheap sunglasses!,https://www.amazon.com/gp/customer-reviews/RXDYRSF3QSDC7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," June 7, 2022",Color: Gloss Black | Kryptonite Green Mirror,Verified Purchase,"I buy 10 at the beginning of every summer as disposable sunglasses. They look great, but don't last all that long, hence why I get 10",
B. Hawbaker,Frames cracked in sun while on my face - twice,https://www.amazon.com/gp/customer-reviews/R2VW9M09VYO1GV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"1.0 "," the United States "," May 28, 2022",Color: Matte Black | Smoke,Verified Purchase,"Beware: Quality has gone downhill big time. Within the first week using my latest order, I have now had two pairs crack while on my face in the sun. Then my wife had the same thing happen. This seems like something SUNGLASSES should be able to withstand. The frames are extra brittle for some reason. We had ordered the same item previously and our family was able to get a whole summer out of one pack. These didn’t make it past Memorial Day.",
Gerald Stephens,Great bang for the buck!,https://www.amazon.com/gp/customer-reviews/RIYALOCKSTRBH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," April 4, 2022",Color: Matte Black | Smoke,Verified Purchase,Love the fit and style.,
megawatt,Excellent,https://www.amazon.com/gp/customer-reviews/R19OYFSJORBDLT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," March 30, 2022",Color: Ultra Pure White | Smoke,Verified Purchase,"I ordered the sunglasses in white for a birthday party. They arrived individually wrapped in a small box, and all in perfect shape. They held up well, and they have springs in the hinges so they actually stay on. We loved them! They look fab and are a great value.",
Roy Bolton,Very good,https://www.amazon.com/gp/customer-reviews/R2BNKHDVYNAN2V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"4.0 "," the United States "," March 22, 2022",Color: Royal Blue | Smoke,Verified Purchase,Awesome,
Skate Witch Customs,Second time purchasing these! Love them!,https://www.amazon.com/gp/customer-reviews/R2GVYOYBEFVMJM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," January 27, 2022",Color: Matte Black | Smoke,Verified Purchase,"My husband loses a pair of sunglasses almost daily. These are awesome. Sturdy, fashionable, and the perfect price point! Don't hesitate to get these!",
Amyy73,Totally Awesome!!,https://www.amazon.com/gp/customer-reviews/R1UU7L5I7XLX5I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," January 13, 2022",Color: Gloss Black | Smoke,Verified Purchase,Very nice glasses. Bought them to wear for 80s day at work.,
Kindle Customer,Great for the money!,https://www.amazon.com/gp/customer-reviews/R17P9YNJ5W3SPS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," December 29, 2021",Color: Matte Black | Smoke,Verified Purchase,I bought these for a tacky tourist day at work and they were perfect! Everyone loves them!,
Amazon Customer,Go value.,https://www.amazon.com/gp/customer-reviews/R1F2ZXUO6OZP7Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"4.0 "," the United States "," December 22, 2021",Color: Brilliant Rainbow | Smoke,Verified Purchase,This was a great price for 10 pairs of sunglasses. We use them in our pool. The TV rating on the packaging refers to the filter used that allows light to be seen. It has nothing to do with the UV rating. They are 100% UVA & UVB.,
TLK,Fun colors,https://www.amazon.com/gp/customer-reviews/R3GIGOP0SVPQBE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 23, 2021",Color: Brilliant Rainbow | Smoke,Verified Purchase,Perfect for our color run.,
Amazon Customer,"Cool Glasses, not there best, but worth it",https://www.amazon.com/gp/customer-reviews/R2WOTWT6ZR3HEV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 18, 2021",Color: Matte Black | Smoke,Verified Purchase,"I am a  musician, I wear these type of wayfarer glasses on stage. i have had many expensive brands that i have lost over the years and get very upset about it because they were so expensive. Also expensive glasses have much darker tint than these. I like these because its a good deal for the money, they look great, and the lens is not too dark, this allows me to see the music in a dark nightclub and still look cool. Oh yeah, all about coolness!",
Heather,Decent shades,https://www.amazon.com/gp/customer-reviews/R7JB3LK1UGURS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 29, 2021",Color: Sterling Silver | Smoke,Verified Purchase,Good product for the price. Used them for wedding,
Maria,Sturdier than I expected,https://www.amazon.com/gp/customer-reviews/RQ3NZVJL8OPLY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 19, 2021",Color: Navy Blue | Smoke,Verified Purchase,I bought these sun glasses for a photo shoot I am doing with my nephews.  For the price I expected them to be flimsy and just last through the shoot.  They are much sturdier than I thought they would be and look rather nice.  I am pleased with my purchase.,
MTA,Great for graduation gifts - Seniors,https://www.amazon.com/gp/customer-reviews/R24T1SF28EWD8Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 14, 2021",Color: Imperial Maroon | Smoke,Verified Purchase,We purchased for our seniors and included them in a gift basket!,
Mason Storm,Good glasses great price!!,https://www.amazon.com/gp/customer-reviews/R2CAL5W7UEJZ9C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 11, 2021",Color: Gloss Black | Lava Red Mirror,Verified Purchase,Good quality glasses that stand up to a little abuse. These are made out of the harder shiny plastic not the mat finish . Good fit and a great purchase !! Very happy with them.,
Jerome Binsley,Second Purchase,https://www.amazon.com/gp/customer-reviews/R3OKGN47DUH9VG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 4, 2021",Color: Brilliant Rainbow | Smoke,Verified Purchase,This is the second time I've bought these glasses.  I hand them out to the people that compliment them.  They're a great fit because of the hinge for people with wide heads.  Everyone I've given them to loves them.  Would definitely recommend!,
Jeff,Great if you are forgetful!,https://www.amazon.com/gp/customer-reviews/R3RD9O6PQQQY3Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 7, 2021",Color: Matte Black | Smoke,Verified Purchase,"My wife and I can be pretty forgetful with small things like hats or sunglasses, and we lose them on a regular basis. I originally bought these a couple years ago as a cheap safeguard to lose and easily replace lost pairs. These are great! Very cheap, but only one has ever broken on us! I recently purchased another set 3 years later because our stock finally ran out. Definitely recommend these if you are one of those forgetful types. Comfortable on your face and durable enough that they aren't pieces of junk! These are not polarized, but can't imagine you can get sunglasses this cheap with that option.",
KRH,Perfect,https://www.amazon.com/gp/customer-reviews/RO5CGWZTDOM82/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 1, 2021",Color: Gloss Black | Smoke,Verified Purchase,"Got as a 'My future is bright"" gag item for my son's college graduation party, and all his friends wore them home. Great purchase.",
Iesha,Great quality!,https://www.amazon.com/gp/customer-reviews/R1Z4C7JMP2D9YJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 22, 2021",Color: Gloss Black | Lava Red Mirror,Verified Purchase,I got these because I wanted to get bulk matching glasses for the guys at my husbands bachelor party. They are high quality. The guys loved them. We have a couple extras we now keep on our boat too! Stylish and durable. 10/10,
Amazon32,Worth it!,https://www.amazon.com/gp/customer-reviews/R1MDGK6J1PWEY9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 20, 2021",Color: Ultra Pure White | Smoke,Verified Purchase,Great quality! Would buy again!,
Sam G.,Better than expected,https://www.amazon.com/gp/customer-reviews/R56SN8UAMWIW9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 13, 2021",Color: Gloss Black | Clear Lens,Verified Purchase,"For the price, we were thinking these would be flimsy plastic. They're not. They feel just like the frames of our prescriptions glasses. We only used them once for a party (then donated them to a local theatre group as props), so not sure how well they would hold up over the long term.",
Stacey,A HIT AT THE BACHELOR PARTY! NOT CRAP!,https://www.amazon.com/gp/customer-reviews/R121OFX8SZ6PSJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 11, 2021",Color: Matte Black | Smoke,Verified Purchase,I was pleasantly surprised of the quality of these sunglasses for the low price - the bachelor party guys LOVED them and they made for great tint on a sunny day on the houseboat. Now I keep a couple spares in the glove compartment. Highly recommend!,
Kenneth W. Church,Great party/group glasses.,https://www.amazon.com/gp/customer-reviews/R21HYHYL4I7Z7I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 5, 2021",Color: Ultra Pure White | Smoke,Verified Purchase,Came individually wrapped. Good looking. Swing hang. UV protection. Great price.,
andy montoya,Not cheap quality great for the price,https://www.amazon.com/gp/customer-reviews/RJVJYUFXTQ9GC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 1, 2021",Color: Gloss Black | Faded Smoke,Verified Purchase,Great glasses and for the price wow u can’t go wrong not cheap quality,
Amanda Steinkruger,Highly recommend!,https://www.amazon.com/gp/customer-reviews/R2VV0S9RFIENSU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," June 26, 2021",Color: Gloss Black | Kryptonite Green Mirror,Verified Purchase,Bought these for a lake get away and everyone loved them! The arms on these flex outwards which make them even more durable than similar glasses. These are great for all ages and events.,
